Alas;Indo;Domain;;History;Instructions;Culture/Tourism;Story/narrative;
saat keluakhge ku ni uji masalah keluakhge khut keuangen sungguh sedih khasene;;NULL;;;;;;
hal si Ndak ku get ti e tapi khoh bangku  sangat menggangu aku;;NULL;;;;;;
de aku jadi fotografer, mbue hall sii ku fotoii, contoh ne bagee ku fotoii bunge-bunge, ku fotoii tulee pemandangen ni deleng deleng, khut lebe si ni sekitakhen ku;;NULL;;;;;;
hal si Nemu Mahan aku hebat petame skill hakhus let kedue disiplin waktu te ketelu ukhok menghargai Kalak lain;;NULL;;;;;;
Kalak bacakh ni kelas petame kakhne faktokh ketukhenen kedue khajin iye belajakh khut mesungguh-sungguh;;NULL;;;;;;
hal si ku lakuken , untuk mahan aku senang mempelajakhi bahase lain untuk de laus misalne aku me kute kalak lain ukhokh aku mengguneken bahasa edi, edi kase kupelajakhi bahese si lain ee kane ukhokh aku;;NULL;;;;;;
kejujukhen penting kakhene Adi akhi kite Nemu ngidah sifat ato pe kualitas Kalak e tekhe Nemu kite nilai Adi akhi plin;;NULL;;;;;;
laku adalah khut khut kite kadehi nak ulng dak kopang kase cekhidah;;NULL;;;;;;
keputesen si ku bahan khut Kalak lain saling menjage ate buah khut lain ne ulang saling menghianati;;NULL;;;;;;
bekhu Kalak ulng kenin hago nak mengas Kate laki ne nahan bamu;;NULL;;;;;;
tampakhi laki ne nahan koa smekdon Ken ne ulng me macam manacam;;NULL;;;;;;
begedi me si ku bahan iii ee ulng gt kogan bual ku nak jhahahahha;;NULL;;;;;;
kakhene menukhut ku jujukh ee paling penting, dan paling ni utame ken, sebab de kite jujukh pasti mbue kalak get ate me kite, de malet kite jujukh paheken malet kalak get ate me kite, edi mahan se kite hakhus jujukh;;NULL;;;;;;
te aku serba berkecukupen malet lupe aku di bantu keluarge khut masyarakat si Ndak mampu e kase Nemu iye pe mekhaseken kae si ku khaseken;;NULL;;;;;;
bage aku jeme ko cinte sendah tukhang mloet guna nange khase;;NULL;;;;;;
cinte ku bamu eee ibakhatken lw oakhik si go bekas manun icing ree;;NULL;;;;;;
t kogan nahan gt kae si ku jawab nde nahan kogan gt tuhu kepe se;;NULL;;;;;;
gakhami chip pido se sedekah me Kalak red khe ne kin made;;NULL;;;;;;
t dak khe ne khele ken de khe ne nge 100 m ree tekhime ye;;NULL;;;;;;
tekhe pe keadaan ku sendah te secakhe tekhe pe, khut ketekhe pe aku tetap mesukukhi kae pe si enggo ni takdekh ken bangku;;NULL;;;;;;
seikhlas ikhlas mungkin nekhime se ulng gt ko kae Ken ye nak ko ge;;NULL;;;;;;
ulng gt begedi da kite v begende nge kene bahan ko v ulng gt gedi;;NULL;;;;;;
uwe kutoh Edi ate mu mesui kogan gt dak kutoh di model Kono geno;;NULL;;;;;;
gedi nge kene khe toh ne gt hedge di nine pondasi ne eee tuhu Ken bagi;;NULL;;;;;;
aku pot me nakdih misal ne kune gt begedi ande plum lh kite nu;;NULL;;;;;;
menukhut ku malot mende kakhene kae kite dak kite toh nan kedepan ne kune nemu plin nahan kite dang ndak mende khut imbangkite ge kakhene toh ne password medsos kite jadi nemu lah post post ne nahan tah kae kae tentang kite;;NULL;;;;;;
ndak masalah sech yang penting kite harus tetap menjalin komunikasi khut komitmen khut pasangen kite dan yang paling utame ne saling pecaye;;NULL;;;;;;
menukhut pandangenku mapan finansial di ne saat kite mampu go nuko kae kae se kite inginken tanpa memido bantuen ise akhi pe;;NULL;;;;;;
kune me ningku bahan cinta ku Enda cinta ku Enda ku bahani;;NULL;;;;;;
cakhe ku untuk mencapai tujuan dengan cakhe sungguh-sungguh kakhene kae,go ne janjiken tuhan bakhang ise se mesungguh sungguh pasti nemu dapet ne;;NULL;;;;;;
dak sukhung jadi namun dikhi mu dak penah ku luprken nggi;;NULL;;;;;;
khencane ku khut pasangenku kune kase hubungen kami khoh akur ne kune kase hubungen kami khoh erat ne dengan cakhe saling terbuka satu sama lain;;NULL;;;;;;
masalah kae ni Bagas geluh ape let masalah de los masalah kae;;NULL;;;;;;
hal se paling aku syukuri sendah yaitu kesehaten se khe ken allah bangku;;NULL;;;;;;
cakhe ku mencape tujuenku untuk mekhubah nasibku, supaye kedepanne aku nemu sukses dan nemu membahagieken kedue okhang tueku ni mase yang akan datang;;NULL;;;;;;
kesan q bages alplikasi Ende me sangat memudahkan jeme si Ndak etoh cehok alad;;NULL;;;;;;
walo v tukhang cinte ku bamu telakhang sanggung ku tangguh dose;;NULL;;;;;;
dose ne sayang pekhadaen ku dak ku umpame Ken Kate kae gat firkh kae nale ju;;NULL;;;;;;
kae plin khencanemu tentang hubungen khut pasangen mu;;NULL;;;;;;
babale Hadi me kane kite sukhung ulng mae buah dalan de nemu;;NULL;;;;;;
pendapetku tentang hubungan yang sehat di lot batasen batasen se harus ne jage sewaktu menjalin hungaen khut pasangen contoh ne te mange lot ini katan pernikahen make ulang penah cube cube untuk melakukan hubungan badan;;NULL;;;;;;
de pendapet ku tentang hubungen sehat ee edi sangat lah penting, kane kite akhus beik me jeme  kane iye pe mejile bahane kite, kakhene kite sesame manusie hakhus mejile -jile ulang pakek khubat khubat;;NULL;;;;;;
kae pendapet mu tentang hubungen si sehat?;;NULL;;;;;;
hal se paling get ate ku pasangen ku akhi ye nemu sabar untuk menghadapi sikap ku se sensitif dan mudah tembohen kadang pe lukah kekanak-kanakan;;NULL;;;;;;
kubukh mu saat aku jadi lain jadi prndakar ne si Nemu kite gakahami;;NULL;;;;;;
Hal kae pelin si paling kao get ti dakhi pasangenmu?;;NULL;;;;;;
walo v tukhang cinte ku bamu telakhan sanggup ku sanggu dak;;NULL;;;;;;
gakhami gantimu jadi pan pinang gt khoh iii ne kubukh mu aku v;;NULL;;;;;;
hal si paling  get ningku me khamah ku contoh ne, bage perhatien ye bangku, masih ye bangku, malet pot pakek mengas-mengas bangku;;NULL;;;;;;
gakhami gantimu jadi pan pinang ulng mae buah dalan ulng mae haksjsb;;Culture/Tourism;;;;;;
sayang ku bamu bage Ken sayang ne nakdih bangku nak ulng gedi;;NULL;;;;;;
gegakhe khang tue si Made Duke cinte mu v nggi mekhobah bangku;;NULL;;;;;;
sengkikhe ne lodesalaha ku ulng mae buh dalan drank luakh ken pagi;;NULL;;;;;;
hal se aku anggap penting keluarga khut waktu;;NULL;;;;;;
bertanya me kalak si toh ne masalah bahanen edi tanyak lot dak kalak sikel butuh bahanen;;NULL;;;;;;
ulng son sim en nak mendepak takal ee nahan ku bahan pon ne di;;NULL;;;;;;
motokh mitokh kae si Nemu jabang ise ukhok jawann se ku teransfer;;NULL;;;;;;
walo v tukhang gakhami gantimu nak kungin manage bamu bak ulng;;NULL;;;;;;
kae naleme malet kutoh di payah jelasken se ntah kune payah mepikekh;;NULL;;;;;;
wakhi se paling sempukhne untuk ku sewaktu aku nemu memenuhi kewajiban ku sebagai hamba allah full sembahyang 5waktu sewakhi sebongi dengan tepat waktu;;NULL;;;;;;
hal si ku anggap penting ni geluhku  contehne keluakhge ku sendiri tekhutame kedue okhang tue ku si kusayangi khut kumasihi;;NULL;;;;;;
cakhe ku menyikapai te pasangan ku lot kekurangen dauh dakhi se aku pekekhken aku nemu cekhokken mende mende khut pasangen aku dan jika dak nemu ne ubah mungkin lebih baik untuk akhekhi hubungen kekhine;;NULL;;;;;;
de lot pasangen ku lot kekukhangen ne ni luakh pemikekhen ku, khut-khut kami dalani geluh lebih mejile kane due ne kami bahagie;;NULL;;;;;;
se aku lakukan te lot fase jenuh ne bagas sebuah hubungen mungkin aku nemu babai pasangen aku untuk lajang lajang atau pe khekhut menginget mase mase indah kami die;;NULL;;;;;;
aku pe malet kutoh nae no dek kapal si kecil tu dek Arya putra Samarinda;;NULL;;;;;;
kau lah si kune di Indonesia kite nde die akhi me to life style yang;;NULL;;;;;;
kune ken naleme nde kau kune ken iye gan ente mau abg y nna di dunia w;;NULL;;;;;;
se sikol aku babai makan malam suga bts karena aku ngefans khu iye se selame nde aku hamin nemu nelengi iye khat virtual jadi aku nangat nelengi khut mecekhok cekhok khut ye langsung;;NULL;;;;;;
pagi ini saya akan kau lakukan e wa w jagsgs akahw yang akan kau waktu yang tepat;;NULL;;;;;;
hal tekhutame si ku lakuken de bosan aku mekhamah ku, ku sebut bane maso kabahki be aku untuk sementakhe ndee, kane untuk menjage pasangen kami lebih mejile;;NULL;;;;;;
aku nangat terkenal bagas bidang menyanyi kakhene aku mekhase lot bakat ku ne bagas menyanyi;;NULL;;;;;;
wakhi si sempukhne untuk ku wakhi kesuksesen ku;;NULL;;;;;;
te aku jadi tekhkenal mebue hal sikel kulakuken, contehne de tekhkenal aku mbue sen ku dan nemu kubabe khang tue ku, laus me haji;;NULL;;;;;;
hal si bahan aku bersyukur adalah hal didape aku mendapetken ape si kuingin ken;;NULL;;;;;;
se paling mahan aku bersyukur sendah lot keluarge ku se nakhen mendukung kae pe cita cita ku khut mekheken semangat kane aku dak putus asa khut permasalahan se aku dapet;;NULL;;;;;;
hall sipaling ku sukukhi bagas geluh ku nde tong bekhe ken tuhan kesehaten, khut kuluakhege si masih bangku;;NULL;;;;;;
hal se sikol aku ubah tentang cakhe keluargaku mbelinken aku cakhe pae ku dalam mendidik anak kakhene terlalu ne kekang bagas hal bergaul;;NULL;;;;;;
kenangen si paling get ningku waktu mase sekolah, kakhene kenangen edi malet nange nemu tekhulang keduee kaline;;NULL;;;;;;
kenangen se paling berkesan bangku sewaktu kami tong tading ne loksemawe kakhene pae ku tong lot bahanen se mampu memenuhi kekhine kebutuhen kami;;NULL;;;;;;
Hal si akan ku ubah adalah aku dibelin ken dengan sempukhne;;NULL;;;;;;
kenangen se paling aku benci bagas geluhku sewaktu aku salah menentuken pilihan ne bagas geluhku;;NULL;;;;;;
akhti sahabat bangku ialah imbang se mampu khut pot nekhime segale kekukhangen khut kelebihen ku tanpa memandang status sosial khut lain ne;;NULL;;;;;;
kenangen si macik si penah  aku alami laus aku me khumah imbangku gat medem adih aku, gat luakh men ku gat malet ku babe kekade ganti ku;;NULL;;;;;;
kenangen si paling bukhuk bagi ku ialah wakhi kegagalen ku si mahan aku kecewe khut segale hal;;NULL;;;;;;
menukhut ku cinte khut kasih sayang ee penting ni geluh ku kahene melalui kasih sayang khut cintee edi mahan se kalak masih bante;;NULL;;;;;;
cinte khut kasih sayang si berperan bagas hidup ku ni dape aku nemu babe khangtue ku laus me tanoh suci;;NULL;;;;;;
aku khut mak'e ku ku nggo ku anggap bage imbang ku sendikhi dan mak'e ku pe gedi, kane kae pe masalah ku nemu aku cekhite ken be side;;NULL;;;;;;
aku khut pak'e ku bage imbang ku bahan, kane kae pe side ndak wayang masih ne bangku, begedi pe aku masih be side;;NULL;;;;;;
karene anak Edi me pagi kite khang tue si dueken kite;;NULL;;;;;;
hewan si aku mbiar Edi me nipe karene nipe Edi me hewan si kuat gigitannya;;NULL;;;;;;
karakteristik jeme si ku senangi Edi me iye baik khut jujur;;NULL;;;;;;
de aku menjalin hubungen khut khamah ku, hal sikulakuken si ku bekhe tahu ken me iye sewajakh ne pelin, malet gat kekhine ku cekhite masalah ku bane;;NULL;;;;;;
teknologi Mase depan Edi me khoh canggih ne karene suatu saat robot ngo mebahan;;NULL;;;;;;
karene kopi Edi me enak ni minum ketika kite sen;;NULL;;;;;;
si paling ku mele ii ni geluh ku nde waktu aku pas celan ni jeme tekhem, dan kekhine jeme tawaii ne aku, edi me sibpaling ku melaii;;NULL;;;;;;
menurut q ketika aku mencari makan Edi tanyak khut jeme;;NULL;;;;;;
jike aku sikel menjalin hubungen khut sekalak jeme hal si hakhus pasangen ku metoh dakhi ku ialah sifat ku kase kedepan ne dia metoh kune sifat ku kase mlt nyesal belakangen nggo milih aku, sikedue mase lalu ku, si ketelu kune keadaan geluh ku, khut kune belak beluk keluakhge ku khut jelas ken kune aku ni belinken;;NULL;;;;;;
si get ningku dakhi khamah ku, contohne bage perhatien ye bangku masih ye bangku dan mbuee sii ki get ti tule;;NULL;;;;;;
se paling get ate ku pasangenku akhi ye nakhen nemu bersikap dewasa untuk nyimbangi sikap kekanak kanaken ku;;NULL;;;;;;
hal si aku get ti dakhi pasangen ku ialah cakhe ne mahan aku kasih sayang ne kepedulien ne terhadep aku;;NULL;;;;;;
aku lebih milih jeme jujukh walo pe jujukh ne bakal nyakiti pekhasaenku tapi jujukh lebih berharga bangku;;NULL;;;;;;
menukhutku jujukh ee hal si paling ni utame ken, walope gat mesuii ni de kutoh cekhite sebenakh ne;;NULL;;;;;;
aku memilih kalak si menghakhgai aku kakhene kalak si menghakhgai aku nggo pasti jujukh mangku kalak si jujukh malt tentu nge mengkahgai kite;;NULL;;;;;;
sewaktu aku menyia nyiaken waktu mude ku kale dengan dak pot kuliah dan bekhanen mekhumah tangge;;NULL;;;;;;
hal si nggo ku lakuken, tapi aku mehakap ulang penah lakuken se nange ialah mehakhap me manusie berlebihen;;NULL;;;;;;
nasihat se aku dapet dakhi kalak yaitu te sikol sukses harus berjuang dengan sekuat tenage untuk mendapetken se;;NULL;;;;;;
hal si penah nggo kulakuken tapi  sebenakh ne malet penah kungin lakuken se, nyanyi ni jeme tekhem;;NULL;;;;;;
si kulakuken ketike aku mengas, ku tenang ken be pikekhen ku kane ulang nae pelin mengas- mengas;;NULL;;;;;;
Nasehat terbaik si penah ku fapet ken dakhi okhang tue ku ialah sekolah mende²ulang ikuti kalak, dan jadilah ank si berbakti kase taboh geluh mu dunie akikhat;;NULL;;;;;;
Hal si nangat aku sampai ken jadi lah dikhi sendikhi kakhene jadi dikhi dendikhi lebih baik dakhi kae v;;NULL;;;;;;
"de sulikhuh jeme ni dunie ndee mege ken cekhok ku mbue hal si sikel ku cekhok ken contohne mecekhok mejile""";;NULL;;;;;;
kelebihen ku tekhmasuk mbue kane, contohne ukhok aku melekheng, mehonda, mhan senang kalak dan mbuee tule si aku ukhok ii;;NULL;;;;;;
kelebihen ku adalah nemu berlomba-lomba dalam hal akademik, jujukh sehingge kalak pecaye mangku, disiplin, mlt nemu ni akali kalak;;NULL;;;;;;
kekukhangen ku job nakhen gagal bagas percinteen;;NULL;;;;;;
kekukhangen ku mbuee kakhene aku pe kan manusie pasti manusie ni dunie nde malet penah sempukhne;;NULL;;;;;;
Hal si kulakuken adalah menikmati alam dan membayangken kune kase nemu aku sukses dan menikmatu suasane ni lukah khumah;;NULL;;;;;;
de aku ni luakh khumah , mbue hal si kulakuken contohne lajang lajang aku keliling tule pokokone mbue hal sikulakuken;;NULL;;;;;;
hal si aku mempiken malam nde aku mendapat kan gelar S1 dengan mudah, menjadi anak bekhu si paling sukses nemu membahagieken okhang tue;;NULL;;;;;;
de misalne mimpi aku bongi nahan, aku nangat mimpi jadi kalak bayak, khut mimpi aku bahagie geluh ni dunie nde;;NULL;;;;;;
si paling get ningku ni alam nde contohne bage tumbuhen tumbehen ni sekitakhen ku nde khut deleng deleng;;NULL;;;;;;
hal si kubahan untuk atukhen khunah contoh ne jage kebersihen, hormati kalak si lebih tue kite akhii dan sayangi kalak si lebih cut kite akhiii;;NULL;;;;;;
hal si ku bahani de aku bahan atukhen ni khumah aku pet khumah di menjadi bersih sehingge malet sampah atau debu kae v nikhumah di kakhene khumah adalah istana de khumah bekhantaken edi oyok istana gelakh ne tapi gudang;;NULL;;;;;;
menukhutku hal si maham kalak bacakh kakhene iye khajin belajakh, lebih mebue waktu belajakh ne timbang waktu melelo ne;;NULL;;;;;;
menukhut ku hal si bahan kalak bacakh adalah dengan belajakh sungguh sungguh insyaallah kalak di manjadi bacakh si kedue kalak di hakhus khajin belajakh kase lebih luas pengetahuen sehingge ndak taboh lalak ngakali see;;NULL;;;;;;
hal si ku lakuken tapi khang tue ku mak metoh malet bue su, tapi lot salah satu ne aku penah mekhamah padahal khang tu ku mak mekhe aku mekhamah;;NULL;;;;;;
hal si ku lakuken khut imbang ku mebue niantakhe ne lajang-lajang, mangan-mangan, karokeeen, makangan taboh, khaun dan mebue tule termasuk menggosip;;NULL;;;;;;
Sesuatu tentang ku si olhang tue ku mlt metoh ialah aku penah tangis hanye untuk okhang tue untuk nemu membahagie ken okhang tue ku, aku penah payah sepayah ne hanye ingin membahagieken okhang tue;;NULL;;;;;;
kenangen si bahan aku bahagie  ialah didape aku mandapatken pengkahgeen ni depan okhang tue ku sehingge okhang tue ku tangis ngidah kesuksesen kuu;;NULL;;;;;;
si ku lakuken menikmati keindahen pantai dan membayangken kune kase aku indah bage oantai siku nyan ni;;NULL;;;;;;
Hal si bahan aku mekhase ni cintai ni hakhgai dan ni peduliken khut kalak si aku get ti edi nggo lulah bisase khase ni ate;;NULL;;;;;;
cakhe ku menunjuk ken me kalak bahwe aku peduli ialah dengan menyangi iye sampek iye sadakh bahwe let kalak si paling peduli terdape iye;;NULL;;;;;;
aku akan bahan buku tentang kesukseesn ku kase belakangen kalak ngikut hehak ku ketelhe kase kalak termotivasi kase tekhus balajakh;;NULL;;;;;;
menukhutku untuk nemu mahan dikhi kite kane gati dan hobi bantu kalak lain hal utame kite lakuken adalah biaseken untuk membantu kalak mulai dakhi hal paling kecil;;NULL;;;;;;
hal si mahan aku mesukukh niantakhe ne aku nemu geluh ni lingkungen keluakhge si nemu mendukung ku ni bagas hal kae pe;;NULL;;;;;;
hal si mahan imbang ku luakh biase mantap ne salah satu ne akhlak ne, akhlak ne me khang tue ne, me imbang ne, me lingkungen ne dan mebue tule si lain ne aku pe salu aku bane;;NULL;;;;;;
hal si mahan aku mekhase hebat sebenakh ne malet, cuman te gat ngo bahagie khang tue ku aku pe ngo mekhase hebat akan hal edi;;NULL;;;;;;
hal si nangat kulakuken ni saat aku libukhen salah satune mangan-mangan, khaun-khaun, lajang-lajang pokokne menue me tapi ntah digan aku nemu libukhen pe nde nu paham kau pe nge malet sen;;NULL;;;;;;
kakhne Edi amanah ulang ni umbakh Ken te jeme ulang me kite sebage jeme ulang Ndak amanah malet berkah hidup te gat;;NULL;;;;;;
te semgkikhe ne imbangku sukhuh ne nyimpan khahasie ne, tapi untuk ku sendikhi malet nyaman aku, hal si lakuken adalah ku sebut me imbang ku ee bahwasen ne aku malet nyaman nyimpan khahasie ne eee, dakhi pade ku sebakh ken me kalak kan gedi kodah;;NULL;;;;;;
aku te wakhi Minggu pepelin Galang khut medem amin ulah ku te gat nesah baju ku nahan gijab pul Edi Galang tule;;NULL;;;;;;
hal si gati kulakuken saat wakhi sabtu minggu biase ne lakuken kegiaten si bermanfaaat contohne belajakh, ibadah dan lain sebage ne;;NULL;;;;;;
sampah hakhus ni kelola agar ramah lingkungen let manfaat ne malet cemak bahan ne lingkungen sekitar te;;NULL;;;;;;
sampah hakhus ni kelola supaye menghindakhi cemak ni sekitakhen kite eeee, kane nemu ni manfaatken tule misalne jadi pupuk jadi bahan lain ne;;NULL;;;;;;
cakhe mengelola sampah si benakh ne daukh ulang bahan sampah e jadi bermanfaat untuk kite kekhine;;NULL;;;;;;
saat Kalak malet menghargai ku Edi Ndak wayang mutang ne ate ku ngidah se;;NULL;;;;;;
te aku let tugas ku fokus kin gat kune cakhe ne tugas e segekhe siap Ndak nange kepikekhen;;NULL;;;;;;
cakhe kelule sampah dengan cakhe mejile salah satu ne ni jadiken pupuk, pupuk nde mebue fungsi ne untuk tanemen si kite suan eee, pokokne mebue kalihen meee ndak caye kau cube kau tesss aku ngo ku tes diye aku;;NULL;;;;;;
pandangen ku tentang pernikahen nde begedi me, kase lot imbang geluh, kase ndak nange sesade laus dape pe, lot imbang debat, imbang pakat, imbang megeduh dan imbang khubat, tapi bagas edi pe lot batas ne kekhi ne, ulang gat kau lakuken kekhi ne kogeeeee;;NULL;;;;;;
bagi Kalak enggo siap malet kae menikah tapi bagi Kalak mange sial ulang be kakhene de menikah hoye sekedakh meyatuken due insan tapi tekhe cakhene saling ngantusi khut mahami satu khut lain ne;;NULL;;;;;;
aku laus kuliah agar dapet ilmu nambah pengetahuan te sip plin ni khumah kae si kite dapet;;NULL;;;;;;
aku te pepagi milasi khumah bantu khang tue pul Edi kae si mange bahani-bahani be;;NULL;;;;;;
nampak kite pe silap cibal Ken dapah kendie jadi ne malet kite inget dape kite bahan Ndak pe gat malet kite Tate dabuh tangan te akhi;;NULL;;;;;;
de kao tanyak aku untuk kae aku kuliah khut sekolahh ee, sendah da aku malet nange kuliahh, nggo tamat aku, de kao tanyak tujuen ku kuliahh ee me untuk sukses, de ko untuk kae ko ciptaken aplikasi nde, me untuk sukses kane;;NULL;;;;;;
ayah ku senakhen menganggap aku bujang cut ne ni mate ne aku nde bage anak cut padahal umukh ku enggo lumayan metue;;NULL;;;;;;
pendapet pak'e ku yang jelas aku anak yang paling baik, dan paling khajin, edi alasen kene kae gat ye nemu masih bangku;;NULL;;;;;;
nampang get ate ku telur nampang malet, dang malet kae pe imbang nakan nahan Edi gokheng te peplin Edi plin bosan bahan ne;;NULL;;;;;;
get ningku telukh ee kane tabohh sitok, malet get ne ningku kane mbau mangekh bahan ne tangan ku de siap mangan;;NULL;;;;;;
aku malet kukhok mangan sayukh Edi Mahan Se malet pot su aku mangan sayukh;;NULL;;;;;;
lebe get ningku sayukh, edi pe sakyukh pilihen be, malet sembakhen sayukh get ningku, kane lebe sayukh lot malot taboh;;NULL;;;;;;
kakhene ni pepagi badan tekhase segar khut ni pagi hakhi pintu khejeki te ni buke jadi lebih baik kite Buet ni pagi hakhi;;NULL;;;;;;
kane  de tokh aku buet nemu aku bahani kekhine bahanen khumah, lebe mu kutempuhi  kae si sukhuh mak'e ku;;NULL;;;;;;
hakhus ubah pikkhen te tanemken Bagas dikhi bahwasen ne kite Edi Nemu bekhubah menjadi lebih baik;;NULL;;;;;;
geluh kane mejile, mejile bahn pekhasat ulang melawan, ulang mbue pidonen kane malet sen khang tuee te;;NULL;;;;;;
bersyukur kakhene si Ndak kite duge pe Nemu kite dapeti apalagi si kite duge-duge e;;NULL;;;;;;
ni dunie nde hakhus kite ukhok menentuken langkah  mejile, untuk dikhi te sendikhi kane kite nemu geluh bahagie;;NULL;;;;;;
si petame ne kite pelajakhi be kase kite toh pul Edi enggo kite toh bakhu kite lakuken;;NULL;;;;;;
sebage jeme disiplin, jakhang mecekhok kae si ni pekhintahken ni bahani;;NULL;;;;;;
aku dapet aplikasii nde dakhi imbang imbang ku sukhuh ne ku download aplikasi nde kane nemu kujawab soalende;;NULL;;;;;;
kite hakhus mencontohken dikhi kite si mejilene, sebelum kite menasehati kalak lain, kase pecaye kalak bante;;NULL;;;;;;
macam macam nggo kudah ni dunie nde tekhmasuk aplikasi aplikasi nggo canggih khut alat alat khumah tange pe nggo macam macam ku idah;;NULL;;;;;;
menukhut ku penting kae si tekhjadi wakhi nde, kane kite toh kae sii nggo kite alami wakhi nde dakhi edi nemu kite jadiken pengalamen selanjutne;;NULL;;;;;;
aku jeme ne nangat kalihen jadi kalak sukses kane nemu ku bahagieken kedue okhang tue ku, dan aku de nggo sukses ate ku ku babe side be haji;;NULL;;;;;;
kune me ningku nggi timai dikhi mu Kao me si ku sayangi ulng nange;;NULL;;;;;;
de stekhes aku lau aku me kas kas si get ningku, contoh ne laus akue deleng atope laus aku me lawe matang;;NULL;;;;;;
untung dak kutoh da nasib dak ku pinte aku nde jeme hama wali mu dak;;NULL;;;;;;
de lot masalah ku malet ku ingin sade mendem se,ku cekhiteken masalah ku eee me mak'e ku, kk ku, imbang ku, kane luas ate ku ndak stekhes aku mikekhken se;;NULL;;;;;;
aku tekhtkhik me sebuah eee kane memang benakh-benakh get ate ku , dan edi mahan se aku kagum ngidah se;;NULL;;;;;;
cakhe ku meningkatken suah kerjasama ee kakhene keejasama ee penting bagas sebuahh tim;;NULL;;;;;;
de umukh ku lime belas tahun aku nangat jadi nak bekhu paling tekhjage khut nisayangi kalak;;NULL;;;;;;
menukhut ku sendikhi tentang aplikasi nde nggo mantap nggo, malet nange bedihen ne;;NULL;;;;;;
"kane aku nggo  ku pakek aplikasi nde ku sebut imbang-imbang ku kane ye pe khut dowload ne kane khut"" kami melhadu jawab soalennde";;NULL;;;;;;
pendapetku mengenai kualitas demokrasi Indonesia nde malet tetah su,sebab mebue Kalak salah arti tentang demokrasi nde, malet nge pas su kukap Edi me kikhe-kikhe;;NULL;;;;;;
sebab kite khakyat Indonesia nde memiliki hak dan kewajiban,Bagas menjalankan Edi PE kite hakhus menaati peraturan peraturan yang berlaku ni Indonesia nde gdi me kikhe kikhe;;NULL;;;;;;
bahase Nemu satuken ne kite,kite ni Indonesia nde geluh dengan mebede suku adat khut budaye,dan NGO pasti setiap daekhah lot bahase sendikhi,Edi me fungsine bahasa nde untuk nyatuken kite kakhene fungsine bahase Indonesia sebage bahasa pemersatu;;NULL;;;;;;
menukhutku nemu-nemu pelin ,dang sendah nde bahase Indonesia PE sikel go me internasional mebue negakhe-negakhe sendah belajakh bahasa Indonesia pe;;NULL;;;;;;
aku Nemu mengas sebab lot suatu kesalahan si ni lakukan kalak bangku,salah satune Edi ge me aku dang sekhius Kalak melelo Mahan aku menges Edi me salah satu ne;;NULL;;;;;;
aku biase ne senang kakhene dapet kabakh bahagie,dapet bue sen,dan saat aku gajien PE aku senang kalihen ndk wayang senang ne senang kalihennnnnnn;;NULL;;;;;;
si ku hobi ii ge me bage lajang-lajang, mangan-mangan,karokeen lajang khut imbang;;NULL;;;;;;
aku senang bakhang bakhu bage baju bakhu tas bakhu sepatu bakhu jilbab bakhu hp bakhu Pokokne aku kekhine me get ningku si mbakhu-mbakhu eee kau pe pahe get nimu edi;;NULL;;;;;;
mungkin agan Kalak ee binatang luakh ge PE Nemu nijadi Ken geluhen,dan kadang nak pikekhi ne kedepan ne kae si tejadi;;NULL;;;;;;
tantangen ni mase lampau ku khase malet,ni mase sendah nde amin tantangen geluh salah satune untuk gakhami bahanen,sebab bue Kalak mesaing kadang-kadang bue Kalak khubat gakhe edi walope khut sodakhe;;NULL;;;;;;
hal si polu nisiapken saat sikel pensiun salah satu ne tabungen untuk Mase tue,sebab gaji pensiun ee kadang Mak cukup Bante;;NULL;;;;;;
walo v tukang gakhami ganti mu sembukh pan pinangbage;;NULL;;;;;;
datang ne ate mu kejam ne cakhe mu sednang Bagas cinte Edi;;NULL;;;;;;
walo v tuhan cinte k bamu telakhang sanggup ku tangguh dose ne sayang;;NULL;;;;;;
pekhadaen ku ak uaeken aku as gat eh kekhi babe it's upe;;History;;;;;;
kune in datang e ate ku eja ne cage mu sedang Bagas cinte Edi m;;Culture/Tourism;;;;;;
wao v that akhang ganti mu sea aku nah editerjakhdaji kidah site u;;NULL;;;;;;
wao v tukang gakha ganti mu saling ke ak akhi Edi me kane;;NULL;;;;;;
wao v tukang haha ganti u sebab gan pinang Ade aji Edi terjakhdi;;NULL;;;;;;
bekhu tenun seh UKA main se I asih bage en sebab s adh akhi;;NULL;;;;;;
wa v tuhan gaha m ganti mu sebab gan pinang Edi me pm ahi;;NULL;;;;;;
walo v tukang haha I ganti mu sebab se nakhu Edi me pekhulahen;;NULL;;;;;;
masyakhakat ne hakhus disipli baik disiplin waktu, lalu lintas , antkhi, khut ngabengken sampah;;NULL;;;;;;
khase ne bangge kakhene kae si kite dambeken tekhcape;;NULL;;;;;;
ape me kutoh Kono v kune kin masak leluhukh bangku ko tanyak;;History;;;;;;
Mak kutoh aku v t begedi nine begedi ninte v payah nale me;;History;;;;;;
Mak kutoh ko tanyak tule tentang Edi si lain ne kae kin tanyak ii;;History;;;;;;
gat ukhusen wisata tule ape me kutoh khoh dauh ne kidah v;;Culture/Tourism;;;;;;
hidangan kami jukut pahakh gedi nge Hamin kae si let tule;;Culture/Tourism;;;;;;
budaya tule ko tanyak khoh Made ne tule mengket me prmikekhen ku;;Culture/Tourism;;;;;;
Mak kutoh mange soh bedi pikekhen ku kune kin Kono heeee;;NULL;;;;;;
