Alas;Indo;Domain
kakhene aku laus kuliah yaedi untuk menuntut ilmu;;Story/narrative
pendapet side sangat baik kakhene aku anak si mlet hobi menyusahken khang tue;;Story/narrative
aku mlet suke khut telukh kakhene mangekh bentuk ne bage jel;;Story/narrative
yaedi dengan cakhe memotong cekhok ne ketike sedang mecekhok;;Instructions
yaedi dengan cakhe bersunguh sungguh sabakh;;Instructions
si ku etoh edi me seorang istri wajib memenuhi kebutuhan sex sang suami;;Story/narrative
si ku etoh edi me seorang suami Edi wajib menafkahi seorang istri;;Story/narrative
yaedi dengan mempekhatiken kebutuhen si ku poluken;;Story/narrative
si ku bahan ketike aku sekolah Edi belajar khut begeken cehok guru;;Story/narrative
untuk mengembangken hal si ni inginken dalam Indonesia;;History
yaedi pekhtengkakhen suatu daekhah si ni sebabken oleh hasuten dakhi luakh;;Story/narrative
si ku bahan sendah Edi kuliah Ni kampus khut sholat full edi balik khumah;;Story/narrative
sangat bahagie kakhene waktu cut mlet kaepe pikekhen;;Story/narrative
yaedi kecewe kakhene hakhapken di Ndak pas;;Story/narrative
care Indonesia memenangkan piala dinie Edi me khajin latihaen khut pekatih;;Story/narrative
kakhene gukhu si mekhe matekhi taboh jadi pelajakhen mudah ni pahami;;Story/narrative
hewan si ku sukai Edi me kelinci?;;Story/narrative
waktu Edi menjadi wakhi bahagie ketike kite mendapetken hal tekhbaik si kite impiken;;Story/narrative
salah satune kemampuan mepikekh kakhene tekhlalu kuno pemikekhen sehingge malet maju;;Story/narrative
hal si Ndak dewase ketike aku pecaye tentang penculiken anak anak;;Story/narrative
tekhadisi keluakhgaku yaedi saling menghargai satu same lain;;Culture/Tourism
menurut q karene sesuatu si kite tentukan wajib lot tantangan ne;;Story/narrative
ketike aku batuk ni jeme ntekhem batukne medekhak;;Story/narrative
aku dapet aplikasi Ende ni dosen q akhi iye nebutse khut Edi make ku download;;Instructions
pengalaman q si ku gambar Edi me menurut aplikasi Edi me lelet;;Story/narrative
yaedi ni sekolah kakhene tempat Edi lukah menimbulken dampak positif;;Story/narrative
yaedi pekhubahen Tek nologi, kakhene semakin maju jaman maka semakin canggih teknologi;;History
yaedi kisah hidup maso lampau ni dape die Kalak ngeluh pantang menyekhah;;History
untuk sendah nde Mak kae pe si mengganjal ni ate ku,begedi Kane ni pikekhen ku pe;;Story/narrative
pendapetku mengenai LGBT atau PE homo mebue hal si malet ku setujui mengenai alasen Kalak Kase gat Nemu ye LGBT padahal suke me lawan jenis ee NGO ni lakhanv tapi kaum LGBT tetap membenakhken dikhi bahwasen neiyee NGO benakh;;Story/narrative
hal si ku lakuken ketike aku dalam menghadapi hal si malet kutoh ato PE ku ketahui dengan cakhe menjalani plin sesuai khut keyakinan kite ulang mengeluh dalani pelin ye;;Instructions
te aku jadi pemimpin akan tetapi aku tekhapken tebeken bawahen ku ee untuk disiplin Bagas ngatukh waktu dan hakhus taat me pekhatukhen si ku tekhapken ni kas mebahan e;;Story/narrative
hal si dapet pesatuken bangse nde Edi me bahase ge,siap Edi ni hakhapken setiap manusia hakhus memiliki kesadakhen bahwasen ne ni Bagas negakhe kite wajib mesatu;;History
biase ne aku mengas sebab aku ni ganggu ni saat aku mangan, belajakh,Pokokne aku malet get ningku te kene ganggu mengas kalihen aku bahan ne gat di Bene konsentakhasi ku pe gat;;Story/narrative
hal si man aku mengas ketike aku ni ganggu saat aku sedang mangan,saat aku sedang belajakh,kemudien saat aku sedang sekhius Kalak gat melelo,Kalak mengkek PE munyabg ate ku mengas aku gat bahan ne di;;Story/narrative
aku gat pot senang biase ne aku dapet kabakh gembikhe,kabakh si mampu Mahan Kalak lain senang PE biase ne luakh biase senang ne aku,ketike aku Nemu mencapai keinginen ku Edi PE Mahan aku sangat bahagie;;Story/narrative
si paling ku paforitken ni dunie ne biase ne kalak-kalak sukses eee,sebab da Nemu inspirasi ne aku Bagas hal kae pe,jadi tambah semangat aku gat dalani geluh nde;;Story/narrative
aku ni ni lahekhken mek ku jadi anak bekhu,ni khen Ken side kasih sayang yang cukup,ni cukupken side segala kebutuhen ku pe;;Story/narrative
hal si Nemu bentuk dikhi ku behubungen khut lingkungen keluarga ku, imbangku kekhine Pokokne si penah megaul khut aku e PE termasuk me Bagas pembentuken dikhiku;;Story/narrative
hal si Nemu ngalihken fokus ku mebue,ketike aku sedang belajakh gat kene ganggu Edi m hal si Nemu Mahan aku gagal fokus khut konsentrasi;;Story/narrative
cekhite atau PE kisah paforitku si ku cekhiteken Nate ku me Kalak malet gat bue su tape se Nemu me Sitok menginspirasi Kalak lain;;Story/narrative
aku, malet pot su cekhiteken kisahku be kalak lain, apelagi tule gat kisah si get ate ku ee malet di;;Story/narrative
lebe let kin si khami ee mehayak cekhite khami, apelagi de nggo khut imbang kite, kite mecekhite;;Story/narrative
lot edi sebab ne kene kae iye e gat nemu ueas ate neee , bede-bede da jeme mde pe;;Story/narrative
malet buah pe ni dunie nde jeme bali apelagi gat pekhasat jeme, pahe ken kehkine mebede, gedi me aku pe;;Story/narrative
aku nangat kalihen aku jadi kalak bayak, de nggo aku bayak mu ku bahagie ken okhang tue ku;;Story/narrative
kite de let imbang te akhus nejile-mejile kite bahan kane iye pe mejile bahan ne kite;;Story/narrative
lebe pang aku, lebe malet pang, megedi nge kite nde kadang mbiakh kite kadang gat malet kite mbiakh;;Story/narrative
kucidahken gat bane bahwasenne aku ndak wayang masih ne bane, kane toh ne;;Story/narrative
aku jeme ne malet putut, kae si lot bangku,de pido kalak misalne kukhe gat, sebab da kite malet nemu putut;;Story/narrative
hubungen si sehat e hubungen si kite dalani e tapi Ndak mekhugiken dikhi te ato pe Kalak lain Nemu motivasi kite Bagas bidang kae v Edi menukhut ku hubungen si sehat;;Story/narrative
kae ndak tawe yee kadang kae si tawe nee bahagie ye kadang, me gedi nge jeme nde;;Story/narrative
hal si kusukai dakhi pasangen ku perhatien jakhang mengas get atene me manje Ken aku kae pe kupido tukhuti ne lebih dewasa aku akhi;;Story/narrative
suakhe-suakhe si paling get ningku kotoh , suakhe kalak mace ni mesjid edi ndak wayang get ne ate ku;;Story/narrative
aku ape me mungkin ukhok aku mahan guee ge ape me kukhok mahan se gedi, te kao ukhok mahan se sade;;Story/narrative
malet gat macik-macik su ni dunie nde, gedi nge kite geluh nde, kite jalani pelin geluh te nde;;Story/narrative
hal ku anggap penting Bagas geluh ku sehat badan sehat hati sehat mental  khut menggape cite-cite kase tercape;;Story/narrative
aku malet kungin nginget si mahan aku uwas ate ee, bekahanen aku nginget kenangen si mahan aku senang e;;Story/narrative
hal si mahan aku bersyukur saat Ende ni bekhe kesehaten ni bekhe kelapangen ate Bagas menghadapi segale cobaan Bagas geluh nde;;Story/narrative
de kite mekhamah me lot nge tujuen kite pahe de mekhamah tujuen te kawin, kekhine pe me gedi;;Story/narrative
kenangen buruk si penah ku alami ni caci-caci imbang ku die waktu aku Tong sekaloh kakhene cut su badan ku walo pe Soh sendah tong cut;;Story/narrative
malet penah lot kenangen si macik-macik ee si ku alami, kekhine si bahagie e;;Story/narrative
tekhe ndak lot cinte ee de malet me nggo kakhem gat dunie ne edi gune ne let cinte nde;;Story/narrative
gati plin bersyukur kakhene ni khe kehidupen bage Ende kakhene cinte khut sayang sangat berperan Bagas geluh te nde;;Story/narrative
malet gat kekhine akhus toh pasangen kite ee pahe lot edi si kite sembunyiken dakhi ye akhi;;Story/narrative
pasangen ku hakhus metoh bahwasen ne aku nde jeme ne manje malet Nemu ni bentak citok pe kakhen ate ku nde lemah lembut;;Story/narrative
hal si kusukai dakhi pasangan ku iye lucu Nemu Mahan aku tawe pemikekhen ne dewasa Nemu megeken curhaten ku bersih iye khium;;Story/narrative
get lah ate aku bane, de malet get ningku malet mungkin pet aku nge khamah ii se;;Story/narrative
aku getten ningku jeme si jujukh lebih mekhase ni hargai plin gedi te Kalak jujukh bangku;;Story/narrative
ni dunie nde da jujukh e palin ni utame ken, sebab de malet kite jujukh malet ingin kalak nemani kite;;Story/narrative
si nggo penah ku lakuken nyanyi ni kute ku sendikhi, padahal sebenakhne malet pot se aku;;Story/narrative
kekhine nasehat kalak ku ge ken apelagi nasehat si mejile-mejile e, get amin ate ku megeken se;;Story/narrative
de gat gedi nimu kukhase malet gat kekhine kalak ngege ken cekhok ku, ape me ingin kalak;;Story/narrative
de aku mehayak kane kelebihen ku, mbue kane tule kekukhangen ku, te ni dunie nde malet buah pe jeme si sempukhne;;Story/narrative
menukhutku kekhine mejile kudah ni sekelilingen ku nde, apelagi tanemen ni deleng-deleng;;Culture/Tourism
petame-petame aku pul buet medem, belhe-bekhes khumah be, ku bantu ii mak'e ku kae si sukhuh side, bakhu pul edu gat khidi gat kemes aku pe;;Instructions
kae gat nemu aku kebenenen, kakhene buah, malet kunget dape kucibal ken, buah pe lale aku;;Instructions
lot alasanne aku malet get ningku kopi, kakhene lebe pagit kin kopi e lebe buah kukhang gule;;Story/narrative
taboh amin gakhami kas mangan , nggo kin kite toh lot kalak jualen langsung pelin gat kite tuko bedi;;Instructions
"mebue nggo si kubahani wakhi nde contehne bage nesah, masuh pikhing khut mbue""tule si lainne";;Story/narrative
kekhapien,akhus pembosih,ulang capak Ken sampah sembakhangen;;Story/narrative
sukhuh Khang tue Yan pekhik Des jume pegas medem;;Story/narrative
khidi ni Lawe kute khut imbang langi-langi menggel cih;;Story/narrative
ni pekhatiken, kae pidonen ni tukhuti sebuah akhi ulang penah mengas;;Story/narrative
kae cekhite ne ni geken,khe sen ulang mengas mengasi;;Instructions
leluhur aku tading ni kute dii aku malet metohh su tentang kae endeeee;;History
tentang kedue khang tue khut kegeluhen kami;;Story/narrative
pekhan kesehaten dan doktokh bagas menbentuk sejakhah daekhah malet paham suu aku diii;;History
tangan ne bage balon baju gedang nakhan,dan cokhak ne gakhis gakhis;;Story/narrative
peduli te khadap jeme-jeme khamah tamah khut Jeme;;Story/narrative
gambakhrn tentang wilayah kami bage pegunubhen hawe ne hangat;;History
mesukukh Tong ni khe tuhan ke sehaten badan,umukh panjang;;Story/narrative
pemandangan yang lagak peunajo Hb yang mangat, ureng meukat ganteng;;Culture/Tourism
sen mebue sebab de sen mebue pikekhen tenang badan v jadi sehat;;Story/narrative
pot saling membantu,saling pekhatien saling menge semangat;;Story/narrative
lajang-lajang khut imbang khut khang tue khut keluarge;;Culture/Tourism
mekhe toh/sebut  me khang tue ne atau v kelurga;;Story/narrative
khaun-khaun,medem ni kamakh gelem hape nilengi tiktok;;Culture/Tourism
Kase dk tekhidah cemak lingkungan sekitakh,Kase tekhidah bosih nyaman khut temtekham;;Story/narrative
Sade Ken sambab sesuai khut jenis ne mahani pupuk dakhi sampah organik;;Story/narrative
membangun khumah tangge untuk geluh khut buah khumah dan mengakhap ken dapet ketukhunen;;Culture/Tourism
aku anak side paling cenek pengakap side kakhene tingkah laku tong bage anak-anak banteng;;Story/narrative
kakhene sebagian sayukh lot khase ne pagit,bau khase makhung;;Story/narrative
Kase Nemu menikmati matuwakhi pagi wakhi dan menghindakhi kelumpuhan badan;;Story/narrative
geken cekhok khang tue,ndauhi imbang si mekhugiken kite;;Instructions
kakhene lot sen dan kakhene hasuten imbang  bujuken imbang;;Story/narrative
mekhadu emosi main se panek en malot pot ngalah antakhe buah;;Story/narrative
petame niat Bagas ate akhi medoe ulang lupe dan semangat;;Instructions
pas SD nakhen jualan babe jualen dakhi khumah,pas SMP melelo bage anak-anak-giling batu bata,pas SMA go mulai mekhamah,pas kuliah mekhimbang laus jangak khut khimbang ni kampus senankhen menyanyi khut imbang ank laki ni ikhingin gitakh;;Story/narrative
pas petame mengket kuliah mlt main se tandanen pas go balik ni tlpn ne dpet nomor ku grup akhi,tlpn ne aku Mido numpang khut lausen ngampus sebab kami buah dalan buah akhah;;Story/narrative
pesan memalui travilokal de jinto pesawat de kereta api melalui online kane;;Instructions
laus me konter sukhuh pejilei tukang konter hapr;;Instructions
dakhi imbang kute dan penasakhen aku Tuhu ape dk Nemu menghasilkan uang atau pulsa;;Instructions
de go Kase nangat aku payah ngentiken se kakhene aku jeme ne kekhas kepale;;Story/narrative
kune cakhe mu membedeken kualitas sebuah bakhang;;Instructions
kae si dapet kenin tingkatke ni aplikasi kenin;;Story/narrative
pekhoses kae si kao lalui untuk menentuken kebutuhen kenin;;Story/narrative
kae tukoen kenin si kenin khase paling penting dan kae hal sana penting penting;;Story/narrative
sohken langkah -langkah waktu kenin belanje online;;Instructions
kune kenin mencaoai tujuen si nangat kenin capai;;Instructions
tantangen kae si kenin hadepi sendah nde;;Story/narrative
kae kenin memilih menguneken aplikasi de nibanding melakuken hal lain;;Story/narrative
cekhiteken tentang pengalamrn kenin mengguneken aplikasi nde;;Story/narrative
sampaiken solusi kenin mengenau masalah ni lingkungen mu sendah nde;;Story/narrative
kune lingkungen kite nemu lebih ramah lingkungen;;Instructions
kune pemanasen global mempengakhuhhi bumi;;History
kae penting untuk mengetahui pekhistiwe wakhi nde;;Story/narrative
kae si sedang mengganjal bagas pikekhenmu;;Story/narrative
kune pendapet kenin sekel sesuatu si malet terduge;;Story/narrative
kune cakhe kenin melakuken hal si sebelumne malet penah kenin lakuken;;Instructions
kune bos /rekan mebahan nin menggambakhken kenin;;Story/narrative
kune kenin melakuken penelitien masalah atau situasi si bahan setres;;Story/narrative
cekhiteken pas kenin mengalami masalah khut kune kenin menanganni se;;Story/narrative
kune cakhe kenin meningkatken mebahan khut;;Story/narrative
kae nasihat si nangat kenin kheken me dikhi kenin si umukh 15 tahum;;Story/narrative
menukhut nin, kune kami dapet menangkihken fitukh bakhu aplikasi kami;;Story/narrative
kune kenin menggambakhken pengalamen kenin mengguneken ikata;;Story/narrative
kune pendapetmu tentang kualitas demokhasi indonesia sendah nde;;History
hal si ni tekhime oleh masyakhakat tetapi aku malet yaitu pergaulen bebas peluah ne anak ne laus-laus khut nak laki baik iye sakhi ato pe bongi de aku malet get su ate ku ngidah se;;Story/narrative
hal si kulakuken aku Nemu jage dikhi ku dengan mejile sehingge aku mekhase puas dengan keteguhen iman khut kekuaten ate Bagas dalani geluh nde;;Story/narrative
hal si aneh ku khase  Bagas dikhi kae pe si hadapi senakhen mepikekhen positif Bagas Edi kekhine pecaye bahwe kekhine Nemu ku lewati Bagas geluh ku;;Story/narrative
cekhite ato pe kisah si Nemu ku cekhiteken me Kalak lain yaitu aku sangat ni manje ni keluarge ku malet penah mebahan payah-payah;;Story/narrative
sejakhah si mempengakhui geluh saat Ende dengan let ne sejakhah kite metoh hal-hal ato pe masalah-masalah si penah terjadi ni mase lalu ato pe ni mase si enggo ni lewati;;History
te dengan let sejakhah kite toh bahwasen ne kae si penah tekhjadi die jadi let peninggalen ne tading jadi kite toh identitas bangse te;;History
Islam mengket me daekhah ku melalui perdagangen ato pe melalui Kalak jualen si khoh me Indonesia nde;;History
malet kutoh sebab aku tong SMA mange let pengalamanku ukhusen politik, bahaye Kane politik sendah nde;;History
sebab hayak Kalak Ndak get ate Edi sebabne malet mu ni berantasken;;Story/narrative
malet pas su ku khase, hayak program pemerintah malet jelas kakhene ketue ne malet jelas;;Story/narrative
ketue ne be ni perbaiki bakhu tekhuhen ketue ne program ne ni perbaiki koruptor di berontasken;;Story/narrative
menerapken kae si wajib kuterapken khut tekhuhen ku;;Story/narrative
sebab te Ndak pake hukum rakyat Indonesia nde Nate Nate ne ngeluh;;History
pemimpin khut rakyat ne tekhuhen pemimpin tule ni perjileken;;History
bahasa nde bue keragamane sebab Edi bahasa nde dari ujung ke ujung mu mempersatuken kite;;Culture/Tourism
bue masalah, kahkhene aku Ndak sabakh pul edi ni pancing kae Ndak nelap bahan ne;;Story/narrative
kae si Ndak tetah Bagas ate ku Edi Mahan SE, tetapi ulang hati su nelap malet mejile;;Story/narrative
kae Nate ku terwujud kae Ndak senang, apa lagi ngidah Awe mek ku dak wayang senang ne leh;;Story/narrative
Kalak macik ate malet mu ngidah Kalak senang, kae pe ku senangi sebab let rasa syukur;;Story/narrative
mek su si kusayang, sebab iye paling hayak mekorban untuk aku nde semoga aku mu bahagieken side;;Story/narrative
dampak ne daekhah si miskin e akan lambat untuk mekembang khut malet koordinasi dakhi daekhah tingkat kesatuen khut kemungkinen tekhjadi kesenjangen sosial;;History
senang ne Ndak melilah kakhene Edi pencapaian Ndak main main;;Story/narrative
dampak dakhi media sosial khut teknologi bagi sejakhah daekhah ku adat-istiadat enggo mulai pudakh kakhene malet ni lestakhiken jakhang enggo ni lakuken;;History
khang tue te hayak mekorban khut kite makane wajib ni hormati khut berbakti;;Story/narrative
kakhene ye suke khut bersyukur kunci ne pelin di;;Instructions
kesukaen jeme berbede bede jeme pe berbede bede malet bali;;Story/narrative
peran pendidiken khut pembelajakhen Bagas membentuk sejakhah daekhah atao pe negakhe enggo mulai terbaru ato pe moderen mulai meningkat khut let pekhubahen ne;;History
aku nde sedang dalam proses INSYAALLAH atas ijin tuhan te kae si kucapai terjadi jak akhi;;Story/narrative
pekhan Seni, sastra khut bentuk ekspresi Bagas seni ni sejakhah Daekhah enggo mulai let si bekhubah begedi Kane khut sastra let Kane pekhubahen ne;;History
kemiskinen, dan untuk senyum mek ku hakhus ku bentuk hidupku nde menjadi lebih baik tule;;Story/narrative
Kalak khecok, bue masalah, hp nde, Kalak Kalak si Ndak penting;;Story/narrative
tsunami ni Banda Aceh tahun 2004 Mahan kite menjadi jeme hakhus waspada khut tekhjadi ne tsunami e kite Nemu metoh pige alak korban khut kite Nemu Buet pelajakhhen;;History
dengan cakhe berkonsisten khut geluh nde demi mek ku si paling ku sayang;;Instructions
siapken biaya geluh untuk kebutuhen Mase tue, siap Ken tule harta wakhisen;;Story/narrative
pekhan si tekhjadi ni Jawa Bagas membentuk sejakhah wilayah ku malet kutoh nge malet ngerti su aku pertanyaen ne;;History
hayak si hakhus ni pelajari sebab generasi selanjutnya perlu Kane mengetahui sejarah kehidupan nenek moyang;;History
dampak ne bue hal hal negatif mengket ke kampung, bue Kane hal hal positif mengket ke kampung kane;;History
pekhistiwe ato pe sekhangkeien kejadien penting dakhi sejakhah daekhah ku Edi senakhen mengadaken jinto kude saat pemamanen baik iye Kalak kawin ato pe Kalak senat;;History
pekhistiwe bersejakhah ato pe perkembangen si menukhut ku sangat menakhik ato pe penting Edi sejakhah nabi-nabi si ni hadepi waktu die;;History
perkembangen ni kute ku sangat memesat cukup gekhe kakhene alat elektronik khut internet nde Edi sebebas perkembangen ni kute ku segekhe berkembang;;History
tentang gambakhen iklim budaye , sosial, ato pe politik dakhi sebuah pekhiode waktu ato pe kas sesuatu Bagas sejakhah politik Nemu mempengakhui pertumbuhen anak-anak;;History
tokoh jeme sejakhah si paling kontroversial khut tekhe cakhe ku ngato Se jeme si khoh khatu makhsahaket ne kase iye kene pilih pul enggo iye kene pilih malet open ne pe nange Kalak e;;History
tokoh sejakhah si ku senangi ato pe si ku get ti khut kene kae gat iye ku senangi ato pe ku get ti yaitu bj Habibi kakhne iye khok kune mempekhlakuken nak bekhu e bage ratu spesial ni Bagas geluh ne khut menjadiken bekhune satu-satu ne jeme si iye cintai;;History
wisata si paling menakhik si penah ku kunjungi yaitu me Banda Aceh kakhne aku jakhang laus bedih adih aku Nemu ngidah laut sedangken ni kute ku malet laut Kade pe;;Culture/Tourism
gambakhen bentuk hibukhen ato pe aktivitas hibukhen tradisional si ni nikmati Bagas budaya ku yaitu kibt;;Culture/Tourism
gambakhen panganen ato pe hidangen tekhadisional si ni hidangken ato pe si ni nikmati Bagas budaye ku pahakh Bagas pemamanen biase ne edi;;Culture/Tourism
kebuenen kalak ni dunie nde khate-khate get te kalak bahasa Indonesia gee;;Culture/Tourism
menukhut ku jelas lah nemu, kane da edi bahase sigati guneken kalak, ni dape pe misalne kite laus;;Culture/Tourism
hayak bi dunie nde mbue get ningku apelagi gat si get ate ku ee, bage contohne, boneka ee kan bende kane;;Story/narrative
mehayak da jenis khut model daun conteh ne bage kuning e nemu bahan kalak jadi daun kalak melahekh ken;;Culture/Tourism
te tentang gambakhen  pakeen te ni sehakhi-hakhi e atope pakeen da hayak nggo ni guneken, contohne bage pakeen adat alas;;Culture/Tourism
ku cekhite ken te sitok tentang kebiasaen atope budaye si lot kutoh, bage gane kueh pah wakhi khaye;;Culture/Tourism
ku cekhite ken te ketekhe agame ni bagas budaye ku, de tekhadisi ande bage khaye wajib gane kueh kembang loyang;;Culture/Tourism
edi ge me si malet kutoh da soalne mbuee ande budaye si malet kutoh ee;;Culture/Tourism
de ande da lot kalak juakhe bage nari-nari misalne gat khe kalak hadiah, edi me si get te kami e;;Culture/Tourism
te gat edi malet gat mbue kutoh kakhene hampekh-hampek bali soalne da;;Culture/Tourism
de anak-anak ee da wajib kin pilih ne dape si nggo ni pilih ne, kane toh te ye kae tujuen ne;;Story/narrative
de aku misalne da, ukhok aku mahan-mahan gedi ni tv me gat hayak sen ku, salah ne malet ikhok ku pe;;Story/narrative
kene kae kalak tawe kane mungkin let hal si nahan ye tawe, contohne bage megeduh ye khut imbang ne;;Story/narrative
de nangat kite meiile da, pebue sikutohne sen nde, kane nemu kite tuko nate kite, contohne bage bedak kite;;Story/narrative
te kucekhite ken gat megedang nan, inti ne pelin gat kusebut ken bahwasenne te sekolah ee ndak wayang khami ne, kadang gat lot bosan pe, begedi me mebahan pe;;Story/narrative
gakahami siahan kite bahagie conteh ne laus kite khaun-khaun edi pe me nggo bahagie kite;;Instructions
ulang nage inget-inget si mahan kite uwas ate e inget pelin kae si mahan kite bahagie;;Instructions
kae kane gat gedi, kadang pe lot bahan ne salahne edi makane gat mbiakh ye;;Story/narrative
ni dunie de pahe lot bahagie khut sedih ne kekhine jeme pe pehe lo ngalami se;;Story/narrative
kekhine pe get ningku te edi negara ku sendikhi kae mahan se ndak get ate ku;;Culture/Tourism
ndak ale me kupelajakhi kane pudinen pe kane ukhok aku, edi mahan se kite nde polu belajakh;;Story/narrative
kugakhami be kalak si nggo lot pengalemen ne bakhu adi akhi aku belajakh;;Instructions
te hakhus ni jauhken de kite nggo kawin, ulang nange pakek-pakek khubat nggo edi pelin;;Story/narrative
menukhut ku de gedi ee kane polu pelin kukap edi kase ku guneken edi mhan se gedi;;Story/narrative
de aku de nggo ndak nungku gat ndak kin di, te kae si kite sebut uwe padahel sebenakhne malet pet su kite;;Story/narrative
te mebahan kite khut kalak hakhus kite tanemken kejujukhen paling penting kane de dape pe kite get ate kalak bante;;Story/narrative
menukhutku gende, de lancakh jakhinhen taboh kite melelo hp pe ndak nange lelet;;Story/narrative
hakhus lah kite sebage jeme nde hakhus ukhok menentuken pilihen kite kite apalagi gat waktu kite;;Story/narrative
hal si menakhik minat ku adalah menyanyi khut nenakhi;;Story/narrative
menukhut ku kabakh kekhine imbang ku adalah sehattt;;Story/narrative
hakhapen ku pas burt medem adalah aku mandaprtken kabakh gembikhe;;Story/narrative
sikulakuken waktu aku mengalami jenuh ni bagas hubungen adalah tetap mendalani hubungen edi kakhene khase jenuh di malet selane ne bekhlangsung;;Story/narrative
denemu aku mengundang ise v ni dunie nde untuk mangan bongi aku akan ajak keluakhgr ku kahene keluakh ge adalah kebahagieen ku si malet oenah nemu ni ganti khut kae v edi;;Story/narrative
Aku pet terkenal bagas keluakhgr ku kakhene kase keluakhge ku nandai aku;;Story/narrative
pekhsahabaten adalah jeme si pet bantu kite susah khut senang sedih khut endah dan si metoh si mahami keadaan kitee;;Story/narrative
aku paling denoh khut keluakhge kuuu, dan mase cut ku luakhbiase baik dakhi kebueen jeme;;Story/narrative
aku luakhbiase denih ne khut awokku dan hubungen ku khot awok ku luakh biase denoh neee;;Story/narrative
de nemu jujukh aku malet kutoh kune aku sikel nadingken dan aku malet ingin metohhhh;;Story/narrative
aku sangat senang ketike imbangku bekhbagi manganen karene aku get kene khe ken kejuten;;Story/narrative
menukhut ku cakhe hewan mecekhok adalah khut babah dan aku malet penah mepikekhen gedi;;Story/narrative
aku malet paham su khut pekhtanyaen ende jadi males aku untuk menjawab neee;;Story/narrative
Hal si paling bahan aku pang adalah support dakhi okhang tue kuu;;Story/narrative
hal sibahan aku sayang khut pasangen ku afalah kakhene sangat sayang dan peduli tekhhadap kuu;;Story/narrative
pengalamen tekhbukhuk ku aadalah nakhik sen me ATM tanpe let saldoo;;Story/narrative
cakhe ku mancapai kesukseesn adalah dengan cakhe bekhusahe belajakh dan Bekhdoe;;Instructions
kas terbaik untuk ku adalah bosihh nyaman dan tentrkhammmmmm;;Story/narrative
kene kae gat mu uwas ate kalak, kaakhene lot kadang si mahan ye mesui ate edi mahan se gat uwas ate ne;;Story/narrative
cakheku agakh tetap fokus adalah dengan cakhe megeken kae si te kalak diii;;Instructions
pengalamen ku si paling menginspirasi ken ku adalah mendapet saudakhe kuuu;;Story/narrative
menukhutku, pasti jeme e mebede bede malot gat lot bali edi kase aku pe bege bede dakhi kalak akhi;;Story/narrative
khakyat si tempat kuuu di die akhi jobnakhen geluh tentekham dan bahagie;;Culture/Tourism
aku nangat kalihen aku jadi kalak bayak, kane nemu ku bajgien ken kedue okhang tue ku;;Story/narrative
setiap jeme e pahe ken kekhine lot kelebihen ne khut kekukhangen ne aku pe begedi kane ukhok aku si ukhok aku e;;Story/narrative
sitekhjadi ketike belande manjajah daekhah kami daekhah kami menjadi payah bahani kae v;;History
ketekhe kase kite menang kite hakhus lot kekompaante khut imbang te;;Story/narrative
cakhe ku menangani se , aku khut cakue ku sendikhi malet ku ikuti kalak;;Story/narrative
pekhan belande bagas menbentuk sejakhah wilayah adalah dengan cakhe menjual khempah khempah;;History
aku menahan ee kase aku lot sen ku, kase mu ku tuko kae nate ku, ndak nange ku pido me khang tue ku;;Story/narrative
pekhan kolonialisme khut imperialisme bagas bentuk sejakhah daekhah aku kukhang metohh;;History
payah su te mesuwi badan te v ngo kune kite mahani se tule;;Story/narrative
semoge segekhe ni kheken Allah anak dan khumah tangge langgeng mukhah khezeki panjang umur sehat sehat senakhen;;Story/narrative
cakhe laki ku manjeken aku Mahan aku senakhen mekhesen ni cintai oleh iye;;Story/narrative
cakhe ku sendikhi masih aku Bane di me cakhe ku cidahken kasih sayang ku e;;Story/narrative
penanggan si Nemu Mahan Kalak e besukh te Nemu mahan iye sennag;;Story/narrative
Kane buwe sen ne cube nde dak buwe sen ne mlt te cikhem Ken v;;Story/narrative
Kane lot kabakh gembikhe Bane khoh Edi Mahan se iye tanggis;;Story/narrative
cinte Kase Nemu kutoh kae arti cinte e Kase kutoh kune cakhe cakhe ne;;Story/narrative
si mejile e gelakh ne v pilihen te yah sesue selera te kite oikih;;Story/narrative
belin ku bahan Kase tenang Kalak manggan ni kas manggan ku e;;Story/narrative
si sennang senang e de Nemu jadi kenyataan gat Bagas geluh ku khut laki ku semoge segekhe ni ijabah Allah doe doe ku selame de ya Allah amin;;Story/narrative
teleponenn Kase Nemu nanyak kabar de dak jumpe langsung ni sebuah kas;;Story/narrative
suakhe Kate Kate kasakh ne Mahan aku benci sebab nyakitin ate Kalak lain edi;;Story/narrative
si Nemu kas tading dak nae pindah pindah selame ne gat Adi;;Story/narrative
kune kin geluh ku nde gat Nemu gende kae dak bage Kalak si lain e si bahagie cut akhi Soh metu ne v;;Story/narrative
anak dukhake me khang tue te malet pakek pekhasat mende;;Story/narrative
ayat ayat Alquran si indah ni pandang Kalak Kalak lain ni luakh khen;;Story/narrative
sekhik ne kap Mae ku belanjai kami cut Soh belin sesade gakhami pinang ni deleng Kalak;;Story/narrative
malet mesen nde Mahan aku dak tenang medem v mikekhi baju khaye;;Story/narrative
kahjin belajakh te inget Kate Kate Mae Edi amin Mahan kite Semangat lebih kuat;;Story/narrative
khajin iye belajakh Edi Mahan se iye khoh kae v jawab se;;Story/narrative
Kane dape v kite laus jujukh e si petame ne;;Story/narrative
